UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId,ChangeInActiveCases,ChangeInDeaths
27413,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,22/01/2020,NULL,0,0
27414,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,23/01/2020,NULL,0,0
27415,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,24/01/2020,NULL,0,0
27416,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,25/01/2020,NULL,0,0
27417,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,26/01/2020,NULL,0,0
27418,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,27/01/2020,NULL,0,0
27419,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,28/01/2020,NULL,0,0
27420,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,29/01/2020,NULL,0,0
27421,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,30/01/2020,NULL,0,0
27422,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,31/01/2020,NULL,0,0
27423,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,01/02/2020,NULL,0,0
27424,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,02/02/2020,NULL,0,0
27425,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,03/02/2020,NULL,0,0
27426,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,04/02/2020,NULL,0,0
27427,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,05/02/2020,NULL,0,0
27428,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,06/02/2020,NULL,0,0
27429,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,07/02/2020,NULL,0,0
27430,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,08/02/2020,NULL,0,0
27431,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,09/02/2020,NULL,0,0
27432,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,10/02/2020,NULL,0,0
27433,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,11/02/2020,NULL,0,0
27434,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,12/02/2020,NULL,0,0
27435,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,13/02/2020,NULL,0,0
27436,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,14/02/2020,NULL,0,0
27437,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,15/02/2020,NULL,0,0
27438,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,16/02/2020,NULL,0,0
27439,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,17/02/2020,NULL,0,0
27440,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,18/02/2020,NULL,0,0
27441,237,Ireland,IE,,,53.41,-8.24,0,0,0,0,19/02/2020,NULL,0,0
